Accessed on Sun Sep 11 2016 03:58:50 GMT-0700 (PDT)
 
×

1618 Owners Of Brain
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AS BIG AS MOUNTAINS"
COMPLETION
 Pas	A-	11×	96/96	  GET
 Mymy Mey	F	6×	90/96	  GET
 Yiling Changues	D+	8×	96/96	  GET
 Macarooni	D+	4×	64/96	  GET
 Mallory Molina	C+	2×	71/96	  GET
 Jelena	B	6×	96/96	  GET
 Ben Keating	A	3×	92/96	  GET
 James Fox Robinson	A+	4×	96/96	  GET
 Wendy Marchese	A+	3×	93/96	  GET
 Dom Sammut	A+	3×	96/96	  GET
 Glynne McReynolds	A+	2×	86/96	  GET
 Doug March	A+	6×	96/96	  GET
 Stephanie Liu	A-	4×	96/96	  GET
 Camille Manning	A+	2×	28/96	  GET
 Jv1c3	A+	3×	92/96	  GET
 Cleonique Hilsaca	A+	4×	96/96	  GET
 Jelanithompson	B	4×	96/96	  GET
 Luraae	A+	2×	96/96	  GET
 Jarett	C	9×	96/96	  GET
 Janina Raymundo	C-	3×	96/96	  GET
 Kelly Ryder	A-	2×	86/96	  GET
 John Goldie	A+	4×	86/96	  GET
 Danny Baker	F	2×	60/96	  GET
 Joshua Rowland	B	4×	90/96	  GET
 Ben Guy	B-	7×	96/96	  GET
 Emilios	A	4×	92/96	  GET
 Tasha Lohr	F	3×	44/96	  GET
 Stelliform	A+	3×	82/96	  GET
 Carol Su	C	2×	64/96	  GET
 ana_i	A	4×	93/96	  GET
 Kawaiii	D	2×	39/96	  GET
 Netschketsch	C-	8×	83/96	  GET
 Winnie Peric	A	7×	91/96	  GET
 Jayson Marquez	D-	2×	96/96	  GET
 Ran Liu	B+	3×	86/96	  GET
 Bagelbro	C	2×	6/96	  GET
 Scott Blomquist	A+	2×	80/96	  GET
 Chelsea Z	A+	3×	67/96	  GET
 Cory O'Brien	A+	6×	92/96	  GET
 Suzie C	A+	3×	96/96	  GET
 Jennifer Marie	C+	6×	96/96	  GET
 Luscius Aregon	D+	2×	87/96	  GET
 Amanda Grant	A	2×	96/96	  GET
 Elena Christou	F	5×	95/96	  GET
 Andreanna Kostantas-Ducceschi	B+	8×	96/96	  GET
 BMai Pham	D	3×	90/96	  GET
 Robb M.	A+	7×	96/96	  GET
 Emily Hugo	A+	3×	93/96	  GET
 Amanda Petzak	A+	6×	95/96	  GET
 Catarina Azevedo	F	2×	55/96	  GET
 The Godfather of Mobsters	F+	4×	22/96	  GET
 Ben Frank	A+	2×	86/96	  GET
 Kaitlyn Madarang	C	2×	9/96	  GET
 Stuart Deck	F	5×	96/96	  GET
 Sloane Shearman	C-	2×	84/96	  GET
 Ha-Anh Dinh	D	3×	96/96	  GET
 Connor Sites-Bowen	B+	2×	88/96	  GET
 Cassidypnp	D+	2×	17/96	  GET
 Zoic	C+	2×	49/96	  GET
 Andrew Smith	C+	2×	84/96	  GET
 Richard Walker	B-	2×	72/96	  GET
 LaRena Whitham	B	5×	85/96	  GET
 Alex Louw	A+	3×	96/96	  GET
 John Carlo Katigbak	F	2×	29/96	  GET
 Martoko	A-	2×	56/96	  GET
 Brittany Burton	B-	3×	96/96	  GET
 Autumn Davis	F	2×	93/96	  GET
 Josh Alley	F	3×	96/96	  GET
 Kim Moon	C+	2×	46/96	  GET
 Metukika	A	2×	96/96	  GET
 Oli Odd	F+	2×	87/96	  GET
 Junkyardromance	C	2×	59/96	  GET
 Brenda González	F+	2×	62/96	  GET
 Raquel Román Parrado	A+	3×	96/96	  GET
 Andrew Leesman	A+	4×	96/96	  GET
 Lou	C	2×	65/96	  GET
 Matthew Allen	A+	8×	96/96	  GET
 Sabrina Sullivan	D+	2×	5/96	  GET
 Jarjake	B	2×	96/96	  GET
 Mandarina	D-	5×	83/96	  GET
 Kyle Arch	B-	2×	93/96	  GET
 Pancake	D+	2×	94/96	  GET
 Bell	A+	2×	64/96	  GET
 Jenna Goebel	A+	2×	94/96	  GET
 Marc De Souza	D	3×	74/96	  GET
 Victor Shapero	F	3×	76/96	  GET
 Onetake	A+	2×	96/96	  GET
 Beno Parbleu	D+	4×	96/96	  GET
 Travis Galloway	D+	5×	96/96	  GET
 martim o	D-	5×	80/96	  GET
 Giulia Mezzomo	C	2×	7/96	  GET
 David Lopez	F	3×	93/96	  GET
 Justin Kendall	B+	4×	96/96	  GET
 Nicka Takamura	F	2×	17/96	  GET
 IdolRoaming	A	9×	96/96	  GET
 Matthew Tso	A+	3×	96/96	  GET
 Bandwitch	B+	3×	96/96	  GET
 Samuel Kraft	A	4×	96/96	  GET
 Willis Dell	A+	6×	96/96	  GET
 matisse9	F+	4×	96/96	  GET
 Cassie Dunn	A+	3×	96/96	  GET
 L3ph4ntom	C+	3×	75/96	  GET
 Ishibutter	D+	2×	48/96	  GET
 Daniyel Mills	A+	2×	96/96	  GET
 Bnewk2	A+	2×	93/96	  GET
 Pickettlane	A+	13×	96/96	  GET
 Kuja.girl	A-	4×	94/96	  GET
 Shiroshi	D-	3×	87/96	  GET
 Vivian Emily	F+	6×	96/96	  GET
