Accessed on Sun Sep 11 2016 04:43:17 GMT-0700 (PDT)
 
×

1395 Owners Of As Big as Mountains
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AS BIG AS MOUNTAINS"
COMPLETION
 xander katigbak	F	2×	51/96	  GET
 OtakuMiki	D	3×	68/96	  GET
 Ning Ting	D	2×	27/96	  GET
 Brian Rossa	F	3×	82/96	  GET
 sevsnapelove09	C	4×	71/96	  GET
 Kuja.girl	A-	2×	94/96	  GET
 Jennifer Stavros	F	2×	93/96	  GET
 Cameron Gray	A+	2×	96/96	  GET
 Ciaran Reinhardt	A+	2×	96/96	  GET
 Tim Plunkett	C	2×	88/96	  GET
 Maureen Tai	A+	4×	96/96	  GET
 Douglas Teixeira Dias	D-	3×	65/96	  GET
 jkrawls	D+	2×	96/96	  GET
 Gina Malvogen	D	5×	96/96	  GET
 Mia von Sillein	C+	3×	96/96	  GET
 James Sanders	F+	2×	96/96	  GET
 Luiza Figueiredo	B	2×	87/96	  GET
 Whereisvera	D+	3×	96/96	  GET
 Mymy Mey	F	3×	90/96	  GET
 Joshua Rowland	B	3×	90/96	  GET
 Fred Rocc	F	4×	96/96	  GET
 Jack McNicol	A	4×	93/96	  GET
 Jnucreative Nuñez	D-	2×	91/96	  GET
 Xinxi	A	7×	96/96	  GET
 Ivelin Peychev	C-	8×	96/96	  GET
 Elizabeth Barnes	A+	2×	94/96	  GET
 Helena Hajsek	A+	2×	94/96	  GET
 kittygorawrx3	A	3×	96/96	  GET
 Marius Milea	F	6×	94/96	  GET
 Agathe Machavoine	B+	2×	96/96	  GET
 Adam Arfman	D	2×	96/96	  GET
 Rebeca Indira	C+	2×	74/96	  GET
 Neoblackguard	A+	2×	91/96	  GET
 Muffin E. Goodness	A+	2×	95/96	  GET
 K R	F	2×	96/96	  GET
 Rebecca Lee	C-	4×	92/96	  GET
 Alyssa Nicoll	A-	5×	96/96	  GET
 Connor Sites-Bowen	B+	3×	88/96	  GET
 Chris Carey	A+	2×	96/96	  GET
 elizabeth	A	3×	94/96	  GET
 Doug March	A+	4×	96/96	  GET
 Vicky Sumbodo	D	3×	96/96	  GET
 Ben Frank	A+	4×	86/96	  GET
 Jack Kopix	D+	3×	96/96	  GET
 Vale Robles	C	2×	96/96	  GET
 Bandwitch	B+	3×	96/96	  GET
 Andreea Danielescu	A+	4×	96/96	  GET
 Renee Ya	D	3×	96/96	  GET
 Stardust	D-	2×	39/96	  GET
 Hiasobi	A+	3×	90/96	  GET
 Thoredrin	B+	4×	96/96	  GET
 Erin Moore	D+	2×	39/96	  GET
 Jennifer	A+	2×	96/96	  GET
 Nero Straspark	D-	8×	96/96	  GET
 Sierra Schell	F+	2×	58/96	  GET
 Julia Notkina	A+	7×	96/96	  GET
 Mina M	A+	5×	96/96	  GET
 Jerica Kelly	A+	5×	96/96	  GET
 Erin Skidmore	B-	2×	90/96	  GET
 rodrigo roman	B	2×	39/96	  GET
 Laura Jäger	B	3×	90/96	  GET
 Hailey Lemon	C	2×	7/96	  GET
 Sergey Shirokov	A	4×	95/96	  GET
 Ricardo Toit	C	2×	92/96	  GET
 Todd Espiritu Santo	B+	2×	89/96	  GET
 desire tomas	C+	2×	96/96	  GET
 Blake Vosburgh	F	4×	96/96	  GET
 Kevin Chang	F	3×	84/96	  GET
 Juliet C.	A+	2×	73/96	  GET
 Erik Vaate	A	2×	96/96	  GET
 Deannadestruction	D	2×	20/96	  GET
 andy t	A	3×	96/96	  GET
 Ming Li	C-	2×	59/96	  GET
 Beccalayne313	D+	2×	91/96	  GET
 Melissachen7	F	2×	70/96	  GET
 Jaime Skelton	A+	2×	96/96	  GET
 Cdprad	A	8×	94/96	  GET
 Anna	B	2×	76/96	  GET
 Helena Che	F	2×	93/96	  GET
 Maria Dot	A	3×	96/96	  GET
 CindyPindy	C+	2×	96/96	  GET
 Rhiannon	D+	2×	93/96	  GET
 Dom Sammut	A+	3×	96/96	  GET
 Alisa Frincke	F	2×	84/96	  GET
 Kris Todd	A+	2×	96/96	  GET
 Gabu	B-	2×	96/96	  GET
 Jeremy Mallia	C	3×	96/96	  GET
 Alla K	D+	2×	52/96	  GET
 Jaryd Alfonso Ramos	F+	4×	85/96	  GET
 Lazymummy	C-	3×	67/96	  GET
 Chelsea Hantken	D	5×	91/96	  GET
 Jessica Songer	C-	2×	67/96	  GET
 Sean Ritner	F	4×	77/96	  GET
 Victor Cruz	D+	3×	96/96	  GET
 Sergio Camalich	A+	7×	89/96	  GET
 Jelena	B	2×	96/96	  GET
 Alyssa Cole	B-	2×	96/96	  GET
 Kristina Werdenberg	A+	6×	96/96	  GET
 IdolRoaming	A	4×	96/96	  GET
 Bella Balucz	B+	3×	74/96	  GET
 Anthony DURAND	A+	2×	96/96	  GET
 Sarah Geddry	A+	2×	96/96	  GET
 ShellCat	C-	2×	95/96	  GET
 Ramiro Franco	D	2×	88/96	  GET
 Josh Ku	A+	3×	95/96	  GET
 Drix Mok	A	3×	68/96	  GET
 Lee Griffith	D+	2×	95/96	  GET
 Adrian Qoh	D	2×	7/96	  GET
 J.L. Elliott	F	7×	96/96	  GET
 Christina Eynem	F	2×	91/96	  GET
 donroyco	A+	6×	95/96	  GET
 Leahcim Parchment	F	2×	81/96	  GET
 Leon Yonzon	A	5×	96/96	  GET
 Amie Arfman	F	4×	77/96	  GET
 kathy zheng	A-	4×	82/96	  GET
 Jazmin Medina	B+	3×	91/96	  GET
 Taty xD	A+	3×	96/96	  GET
 Kimi S	D	3×	93/96	  GET
 Gwen Brinsmead	A-	3×	96/96	  GET
 Lily Marie	D+	4×	96/96	  GET
 Youssef Hachhouch	A+	5×	96/96	  GET
 Wintersnowman12345	C-	2×	82/96	  GET
 R	A	2×	96/96	  GET
 Amlyreze	C-	2×	85/96	  GET
 Shiroshi	D-	3×	87/96	  GET
 Armand Datema	A+	6×	96/96	  GET
 Becca W	A-	2×	54/96	  GET
 Caro Zanoria	D	2×	95/96	  GET
 sara cannon	B+	2×	79/96	  GET
 Vivi Campbell	C	3×	96/96	  GET
 Kevin Henke	A+	2×	96/96	  GET
 Frank Cheng	B+	2×	93/96	  GET
 Neko	C+	2×	52/96	  GET
 Nate Rapai	A+	2×	96/96	  GET
 Wenzhu Wei	F	3×	91/96	  GET
 Tentakid Okto-bits	D+	3×	96/96	  GET
 Habblesthecat	A-	2×	96/96	  GET
 Stephanie Chappell	A	3×	85/96	  GET
 Keegan Wreden	C	4×	96/96	  GET
 Peekaboohime	D-	3×	92/96	  GET
 Ryan Karlin	A	3×	95/96	  GET
 Aaron F	B	6×	89/96	  GET
 Ashley Clark	D+	2×	47/96	  GET
 Justin Kendall	B+	4×	96/96	  GET
 Vincent Hyde	A+	2×	96/96	  GET
 James Mathias	A+	3×	96/96	  GET
 Mario Ortega	C+	3×	88/96	  GET
 Ishibutter	D+	2×	48/96	  GET
 Zoe	D-	4×	89/96	  GET
 Nitaldevilliers	D	4×	94/96	  GET
 Bruno Filós	D+	3×	96/96	  GET
 Dian Rahma	B	2×	96/96	  GET
 Dani	A-	3×	96/96	  GET
 Colleen Legree	F	2×	89/96	  GET
 didabean	D	4×	96/96	  GET
 Devi De Leon	A	2×	94/96	  GET
 Joe K	A+	6×	96/96	  GET
 Violet Vaughan	D	2×	53/96	  GET
 Porsha Rich	A+	2×	93/96	  GET
 Ashley Lawson	A	2×	96/96	  GET
 Ghostsofthings	F	7×	95/96	  GET
 Laura	A+	5×	96/96	  GET
 Seymour	A+	2×	92/96	  GET
 Aika V	A+	2×	96/96	  GET
 Sloane Shearman	C-	2×	84/96	  GET
 Pøky Po	A+	6×	96/96	  GET
 Alban Allée	F	2×	96/96	  GET
 CherubiAngel	C	2×	67/96	  GET
 Grace Pariante	A+	2×	94/96	  GET
 Mari	C	2×	68/96	  GET
 Justine U	A	2×	96/96	  GET
 Francisco Sanchez	F	3×	91/96	  GET
 Jessica Eichor	F+	2×	35/96	  GET
 Craig Coles	A-	6×	96/96	  GET
 erinlizm	C+	6×	96/96	  GET
 Paul Wilde	B+	4×	96/96	  GET
 Tejas Prithvi	A+	3×	96/96	  GET
 Annie Piphany	A+	5×	96/96	  GET
 Ha-Anh Dinh	D	2×	96/96	  GET
 Steve Corbett	A+	3×	96/96	  GET
 Liliana Melendez	A+	3×	96/96	  GET
 Gabsy	A+	6×	96/96	  GET
 Julia Vysotskaya	A+	3×	96/96	  GET
 Dramaqueen09	A+	5×	83/96	  GET
 Ellen Marie Mañabo-Dakay	F	2×	69/96	  GET
 Wendy Marchese	A+	2×	93/96	  GET
 Samuel Couto	B+	5×	96/96	  GET
 Mark Fogle	A+	4×	96/96	  GET
 Tenpai	C+	2×	96/96	  GET
 Ross Quigley	A+	7×	96/96	  GET
 Mike Armstrong	A+	2×	96/96	  GET
 Tomáš Všetečka	F	3×	62/96	  GET
 Pickledwhales	A+	3×	29/96	  GET
 Cheyenne Clark	A	6×	96/96	  GET
 heather barrett	B	2×	89/96	  GET
 Andrew Leesman	A+	2×	96/96	  GET
 Richard Walker	B-	2×	72/96	  GET
 andri kle	F+	2×	96/96	  GET
 Grimm Georgie	D+	2×	53/96	  GET
 Kako Smo	A	2×	96/96	  GET
