Accessed on Thu Sep 15 2016 00:33:57 GMT-0700 (PDT)
 
×

555 Owners Of Ya'tuu, The Soul Hoarder
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AVATARS"
COMPLETION
 Virginia "Magnolia" Pratcher and the MissOldNeonmob Hallows	A+	3×	48/53	  GET
 Lach_ness_394	B-	1×	6/53	  GET
 Kristian Zranchev	B	1×	29/53	  GET
 Christian Benedict Vallecer	B	1×	24/53	  GET
 Dawn O'Brien	A+	1×	40/53	  GET
 Jesterstear	A+	1×	35/53	  GET
 Britta Bozarth	A	1×	32/53	  GET
 Spac3_ac3	A+	1×	39/53	  GET
 Geraldo Neto	B-	1×	10/53	  GET
 Therealbobo34	A	1×	14/53	  GET
 LOL2125hulk What?	A+	1×	39/53	  GET
 Kristina Meloserdoff	A+	1×	42/53	  GET
 Runeclove Gates	B-	1×	29/53	  GET
 Sirhagrid	A+	1×	46/53	  GET
 Jeremiah	A+	1×	41/53	  GET
 Shere Khan	B+	1×	49/53	  GET
 Lapianoman	A+	1×	51/53	  GET
 Duane Tellner	A-	1×	5/53	  GET
 RedCrow	A+	1×	40/53	  GET
 David Phillips	D+	1×	41/53	  GET
 Diana Jones	A+	1×	40/53	  GET
 Laila Pinto Alves	A+	1×	41/53	  GET
 Shadowlight1035	A+	1×	31/53	  GET
 Celina Gr	A+	1×	44/53	  GET
 Freef ree	A+	1×	36/53	  GET
 EpiCLicTra	A+	1×	43/53	  GET
 Jason Rawls	A+	1×	53/53	  GET
 Naranda	A+	1×	43/53	  GET
 Aza	A+	1×	25/53	  GET
 Shade20xx	A+	1×	53/53	  GET
 Rbcca123	A+	1×	39/53	  GET
 Alexander Elliott	A+	1×	36/53	  GET
 Timelessking	A+	1×	35/53	  GET
 TJ Allen	C+	1×	5/53	  GET
 Cheszali Erestain	A+	1×	43/53	  GET
 Thatgamer10	A+	1×	22/53	  GET
 Dixon Vew Lim	A+	1×	42/53	  GET
 The_Blazing_Prince	A+	1×	41/53	  GET
 James Walz	A+	1×	23/53	  GET
 Lindsey Mian	A+	1×	45/53	  GET
 Bryce	C	1×	24/53	  GET
 Toritundra	A+	1×	46/53	  GET
 Brittany Wall	A+	1×	34/53	  GET
 Naomi Deltano	A+	1×	39/53	  GET
 Wolfgirl1	A	1×	36/53	  GET
 Enderwolfbc	B	1×	13/53	  GET
 Wayne Carlson	B+	1×	30/53	  GET
 The_anamex	A+	1×	28/53	  GET
 Nick Smith	C	1×	7/53	  GET
 Nate Rapai	A+	1×	44/53	  GET
 Arlain	A+	1×	19/53	  GET
 Katherine Wise	A+	1×	37/53	  GET
 Sevan.pasch	A+	1×	42/53	  GET
 Macklmore	A+	1×	41/53	  GET
 Adi	A+	1×	36/53	  GET
 Jonathan Ross	A+	1×	37/53	  GET
 Mike Cundiff	A+	1×	38/53	  GET
 Reagan	A-	1×	39/53	  GET
 Violaturtle	A+	1×	35/53	  GET
 Chasson Skervin	A+	1×	36/53	  GET
 Mark Kats	A+	1×	45/53	  GET
 Shawn Steele	A+	1×	41/53	  GET
 Filmsamurai	A+	1×	38/53	  GET
 Papercut	A+	1×	50/53	  GET
 S_man98	A+	1×	40/53	  GET
 Andrewter	A+	1×	48/53	  GET
 007yttik	A	1×	43/53	  GET
 Kevin Hong	A+	1×	31/53	  GET
 Marie.lool	A+	1×	40/53	  GET
 Gogs	A+	1×	41/53	  GET
 Faustianhero	A	1×	43/53	  GET
 Zizimaro	A+	1×	48/53	  GET
 Nacho1108	B-	1×	32/53	  GET
 David	A+	1×	40/53	  GET
 William Brown	A+	1×	47/53	  GET
 James McLeod	A-	1×	38/53	  GET
 Grgzhng	A-	1×	43/53	  GET
 Robert Gronewold	A+	1×	41/53	  GET
 Leopold Stoch	A+	1×	3/53	  GET
 Cyrus Malkin	A+	1×	52/53	  GET
 Marli O	A-	1×	25/53	  GET
 Neonmobster_12295	A+	1×	31/53	  GET
 Reallybored	A+	1×	42/53	  GET
 Shääd Kunkle	A+	1×	44/53	  GET
 kostasthedragon	A+	1×	34/53	  GET
 Boyslie	A	1×	23/53	  GET
 Nico Oliva	A+	1×	34/53	  GET
 Akihirokujo	A+	1×	33/53	  GET
 Kristy Klomp	A+	1×	40/53	  GET
 Zechariah Weils	A+	1×	11/53	  GET
 Stravabro	B	1×	35/53	  GET
 Emily Strasser	A+	1×	40/53	  GET
 Joan Collette	A+	1×	31/53	  GET
 Chris Carey	A+	1×	40/53	  GET
 Nick Sabre	A+	1×	53/53	  GET
 Michael Hunter	A+	1×	39/53	  GET
 Loffel	A+	1×	40/53	  GET
 Reaver	A+	1×	46/53	  GET
 Moonkitvelvet	A+	1×	45/53	  GET
 Roxanne Inanis	B-	1×	6/53	  GET
 Konrad Koessel	A+	1×	32/53	  GET
 Gregu	A	1×	39/53	  GET
 Reia Metherle	A+	1×	41/53	  GET
 Paradox	A+	1×	29/53	  GET
 The Geeky Corner	A+	1×	18/53	  GET
 Gorefat	F	1×	29/53	  GET
 Jessica Carroll	A+	1×	39/53	  GET
 Jari Marquez	C	1×	23/53	  GET
 Brad Hoffman	A+	1×	49/53	  GET
 Davidhj.net	A+	1×	39/53	  GET
 snakes snakes	A+	1×	41/53	  GET
 Cassidy J. Alexander	A+	1×	39/53	  GET
 Bella Tricarico	B	1×	8/53	  GET
 Slobodan Kovacevic	A-	1×	40/53	  GET
 SnowBear	A+	1×	44/53	  GET
 Luiz Wendt	A+	1×	39/53	  GET
 Caellis	A+	1×	40/53	  GET
 Vaelyx	C+	1×	32/53	  GET
 Neonmobster_19030	A+	1×	16/53	  GET
 Insanekitty32	A+	1×	27/53	  GET
 Joanne Marris	A+	1×	44/53	  GET
 Ana Vanessa Sampaio	B+	1×	36/53	  GET
 Collins Estock	A+	1×	36/53	  GET
 Catpixels	A+	1×	44/53	  GET
 Courtney	A+	1×	53/53	  GET
 joe sheire	B	1×	34/53	  GET
 Nolan Davis	A+	1×	36/53	  GET
 Joey Valko	A+	1×	48/53	  GET
 Devin	A+	1×	26/53	  GET
 Linkle	A+	1×	39/53	  GET
 Nytunia	A+	1×	45/53	  GET
 Darth Dali	A+	1×	45/53	  GET
 Sheepylink	A+	1×	40/53	  GET
 Lucie Rose	A+	1×	42/53	  GET
 Hayabusa123	A	1×	43/53	  GET
 Matt	A+	1×	47/53	  GET
 Kodiburr	A+	1×	38/53	  GET
 Mike Stickel	A+	1×	46/53	  GET
 artshie	A+	1×	34/53	  GET
 Genrel_id	A+	1×	46/53	  GET
 David Stroble	A+	1×	30/53	  GET
 Purple_drogger	D+	1×	26/53	  GET
 Daniel Sigal	A+	1×	45/53	  GET
 gaboleiro1235	A+	1×	38/53	  GET
 Rey1282	B+	1×	5/53	  GET
 narutofan10	A+	1×	39/53	  GET
 Rachel	A+	1×	45/53	  GET
 Atatdriver	A+	1×	44/53	  GET
 Thetoonwizard	A	1×	30/53	  GET
 Elyse B	A+	1×	40/53	  GET
 Miryam Mara	B+	1×	49/53	  GET
 Panlucasek	A	1×	44/53	  GET
 Vincent Hyde	A+	1×	43/53	  GET
 Ag3ntxii	A+	1×	44/53	  GET
 Partcloud	B	1×	29/53	  GET
 Ari	A+	1×	35/53	  GET
 Hana Cooper	A+	1×	46/53	  GET
 Neonmobster_978	A+	1×	42/53	  GET
 Glenn Martin	C-	1×	37/53	  GET
 Kumi	A+	1×	44/53	  GET
 Marcos Pereira	A-	1×	39/53	  GET
 Michelle Holmes	A+	1×	37/53	  GET
 Loca	F	1×	31/53	  GET
 Tony Bolony	A+	1×	48/53	  GET
 Malik Wade	A+	1×	40/53	  GET
 Caspar Parker	A+	1×	38/53	  GET
 Tabitha Amy Rose	A+	1×	40/53	  GET
 Jeff Helton	A+	1×	43/53	  GET
 Darr3nrocks	A+	1×	40/53	  GET
 Ashley Logan	A+	1×	45/53	  GET
 Neonmobster_17735	A+	1×	40/53	  GET
 Ribena	B+	1×	32/53	  GET
 Winnie Lao	A+	1×	44/53	  GET
 Neonmobster_2157	A+	1×	35/53	  GET
 Care Halverson	A+	1×	38/53	  GET
 Jennifer Dean	A+	1×	42/53	  GET
 Jackiesscreenscene	A+	1×	41/53	  GET
 Rachel McCullough	A+	1×	36/53	  GET
 Jvmagicman	A+	1×	34/53	  GET
 Johnthesilver	A+	1×	49/53	  GET
 Energywolf	A+	1×	43/53	  GET
 Axelfox1982	A-	1×	38/53	  GET
 Reiss Tolga	C	1×	2/53	  GET
 James Fox Robinson	A+	1×	40/53	  GET
 Jizzelnunez	C	1×	10/53	  GET
 Maria Camacho	A+	1×	37/53	  GET
 Sami Khodir	A+	1×	45/53	  GET
 Tom Nora	A+	1×	36/53	  GET
 Tyler Anderson	A+	1×	43/53	  GET
 Verywarrior011	A+	1×	39/53	  GET
 Dhodg187	A+	1×	40/53	  GET
 Dave Wilhelm	A+	1×	44/53	  GET
 Kleeko	A+	1×	41/53	  GET
 Yicedawn	A+	1×	45/53	  GET
 Eric Liu	A+	1×	29/53	  GET
 Homero Patino	B+	1×	29/53	  GET
 Beautypearl13	C	1×	6/53	  GET
 Rebecca	A+	1×	40/53	  GET
 Nico Hart	A+	1×	45/53	  GET
 Phoenixdn4	A	1×	34/53	  GET
 Shieldofsheldor	A+	1×	43/53	  GET
 Ramiz Yusifov	B-	1×	21/53	  GET
 Ty Smart	A+	1×	40/53	  GET
 Naylor4cards	F	1×	23/53	  GET
 Cory Ruda	A+	1×	44/53	  GET
 Gavin Ferguson	A	1×	43/53	  GET
 Kabal50100	A+	1×	28/53	  GET
 Michael Wallace	A+	1×	46/53	  GET
 Gregg KeeferPROTESTSNEONMOBCHANGES	A+	1×	42/53	  GET
 Lynx6089	C	1×	16/53	  GET
 Mike Corcoran	A+	1×	18/53	  GET
 cecilia barbosa	A+	1×	42/53	  GET
 Pieater	B+	1×	29/53	  GET
 Kali Nelson	A+	1×	33/53	  GET
 Lolo Le Treize	A+	1×	40/53	  GET
 Kate	A+	1×	22/53	  GET
 Kennedy Floyd	A+	1×	30/53	  GET
 Sang Nguyen	A+	1×	28/53	  GET
 Matthew.robert.mcnally	A+	1×	44/53	  GET
 Kristina Wideman	A+	1×	39/53	  GET
 Phillypu	A+	1×	46/53	  GET
 Neonmobster_811	A+	1×	45/53	  GET
 Rosestar55	A+	1×	41/53	  GET
 Andy Sun	F	1×	33/53	  GET
 Morgan Caricchio	A+	1×	42/53	  GET
 galliard von Sillein	A+	1×	43/53	  GET
 Justin Barnes	A+	1×	31/53	  GET
 Ndruiz	A+	1×	41/53	  GET
 Sibil Hadzhytodorov	A+	1×	43/53	  GET
 Dimonite	A+	1×	43/53	  GET
 Brittany Evanovich	A+	1×	40/53	  GET
 Roches Guimarães	A+	1×	53/53	  GET
 Ryumichi	A+	1×	32/53	  GET
 Michael Mosher	A+	1×	44/53	  GET
 Magicpuppy	A+	1×	39/53	  GET
 Robert L Wilson	A+	1×	32/53	  GET
 Neonmobster_15731	A+	1×	31/53	  GET
 Abdul Marq	A+	1×	41/53	  GET
 Leon Yonzon	A	1×	38/53	  GET
 Paulo914	A-	1×	40/53	  GET
 Tzel	A+	1×	33/53	  GET
 Zanrin	A+	1×	41/53	  GET
 Katie Knudson	A+	1×	43/53	  GET
 Crass	A	1×	44/53	  GET
 Cherie Young	A+	1×	42/53	  GET
 Fernando Suasnavar	A+	1×	44/53	  GET
 Lúcio Alves	A	1×	15/53	  GET
 Definitely The All-Father	A+	1×	35/53	  GET
 Allen Geneta	A+	1×	43/53	  GET
 Robin Bray	A+	1×	53/53	  GET
 River	A+	1×	51/53	  GET
 Davekaleta	A+	1×	40/53	  GET
 David Jimenez	A+	1×	39/53	  GET
 David Vejlgaard	A+	1×	40/53	  GET
 Sean343	B-	1×	32/53	  GET
 Shuunka	A+	1×	48/53	  GET
 Graham Viets	A+	1×	42/53	  GET
 Imlostcanuhelpme	A+	1×	44/53	  GET
 Ron Martin	A+	1×	42/53	  GET
 Brokenpanda	A+	1×	46/53	  GET
 Nathan	A+	1×	49/53	  GET
 Cephalopod	B+	1×	21/53	  GET
 Gabalter	A+	1×	34/53	  GET
 Neonmobster_19102	A+	1×	45/53	  GET
 Circuskidg	A+	1×	43/53	  GET
 Istanyou	A+	1×	37/53	  GET
 Blakestapleton22	A+	1×	40/53	  GET
 Zoila NEEDS more ERs.	A+	1×	46/53	  GET
 Darin Grechus	A+	1×	43/53	  GET
 Sam Fenn	A	1×	33/53	  GET
 Leo Von Grimm	C	1×	6/53	  GET
 Лев Якушев	A+	1×	40/53	  GET
 DoctorFluffy	A+	1×	42/53	  GET
 Greenfaery	A+	1×	32/53	  GET
 Dennis Perlstein	A+	1×	44/53	  GET
 Glenn Blanza	A+	1×	38/53	  GET
 AJ Esquin	D	1×	29/53	  GET
 Austin Romine	B+	1×	36/53	  GET
 Miffles Stubbypaws	A+	1×	45/53	  GET
 Anonymous User	A+	1×	27/53	  GET
 Jens Hviid	A+	1×	33/53	  GET
 Carl Custodio	D	1×	38/53	  GET
 Clayton Ramone	A+	1×	34/53	  GET
 Hakaru Muromachi	A+	1×	41/53	  GET
 Robin Bond	A+	1×	41/53	  GET
 Lauren Voorhees	A+	1×	45/53	  GET
 Kelvin Tse	A+	1×	40/53	  GET
 Kyureon Westfall	A+	1×	41/53	  GET
 Mot	A+	1×	43/53	  GET
 Christian Mille Malinao	A+	1×	38/53	  GET
 Rommel Singca	A+	1×	47/53	  GET
 Coureton	A+	1×	39/53	  GET
 Raeverie	A+	1×	39/53	  GET
 Tarta	A+	1×	15/53	  GET
 Chris LeDoux	A+	1×	53/53	  GET
 Jglamas	A+	1×	30/53	  GET
 Alexandra Campbell	A+	1×	36/53	  GET
 Chaun Yamat	A+	1×	36/53	  GET
 Josh Ku	A+	1×	38/53	  GET
 Tanner Johnson	A+	1×	30/53	  GET
 Kayley Stephens	A+	1×	36/53	  GET
 Thomas Art	A	1×	42/53	  GET
 Timmcanpy	B	1×	37/53	  GET
 Kairuichan	A+	1×	12/53	  GET
 DJ Jones	A+	1×	28/53	  GET
 Kyle Morse	A+	1×	45/53	  GET
 MarioSun123	A+	1×	39/53	  GET
 Rafadelpozo98	B+	1×	38/53	  GET
 The Shayminz	B-	1×	23/53	  GET
 Mrminimii	A	1×	39/53	  GET
 Elhan99	A-	1×	6/53	  GET
 Iflipthecookie	C+	1×	36/53	  GET
 Stereo	A+	1×	42/53	  GET
 Ivanwinarta	B+	1×	34/53	  GET
 Hidden_raccoon	B	1×	27/53	  GET
 Chris Held	A+	1×	48/53	  GET
 Lenticular	A+	1×	39/53	  GET
 Riél Shadowveil	A+	1×	46/53	  GET
 ziel klynx	A+	1×	40/53	  GET
 Julie	A+	1×	46/53	  GET
 NeOnMoBsTeR MaTt	A+	1×	34/53	  GET
 Hamzaalimian786	B+	1×	38/53	  GET
 Farscape1x	A+	1×	45/53	  GET
 Shawna Aponte	A+	1×	40/53	  GET
 Sockin	B	1×	38/53	  GET
 Ernest Mattingly	A+	1×	45/53	  GET
 Riley Cowlin	A+	1×	26/53	  GET
 Rize	A+	1×	32/53	  GET
 Neonmobster_19433	A+	1×	28/53	  GET
 Michael Plourde	A+	1×	38/53	  GET
 Sharoontheraccoon	A+	1×	43/53	  GET
 Chuck Bohatka	A+	1×	36/53	  GET
 Lora Bahchevanova	A+	1×	34/53	  GET
 Gami	C	1×	15/53	  GET
 Neptune Smith	A+	1×	39/53	  GET
 Selnari	A+	1×	41/53	  GET
 Jay Wu	A	1×	43/53	  GET
 Rokrevthin	A+	1×	46/53	  GET
 Dominic Flask	A+	1×	53/53	  GET
 RuyGDA	A+	1×	44/53	  GET
 Kiwistunz	A+	1×	44/53	  GET
 Kat	A+	1×	45/53	  GET
 Wax_packs	A+	1×	46/53	  GET
 Jhedy	A+	1×	41/53	  GET
 Ilja	A+	1×	41/53	  GET
 Alex Borrallo	A+	1×	37/53	  GET
 Sara Savastano	A+	1×	35/53	  GET
 KingOGKonaan	A+	1×	39/53	  GET
 Husky Eldridge	A+	1×	38/53	  GET
 Megan wants the old NeonMob back	A+	1×	46/53	  GET
 B E	B+	1×	26/53	  GET
 Calichaos	C	1×	38/53	  GET
 Kenneth Goldbain	C-	1×	31/53	  GET
 Xorj StAnthony	A+	1×	41/53	  GET
 Riley Bobadilla	A+	1×	43/53	  GET
 The Paper Man	A+	1×	47/53	  GET
 Megan Pauls-O'Brien	A+	1×	38/53	  GET
 stainedaether	A+	1×	36/53	  GET
 Rhiya Duby	A+	1×	30/53	  GET
 Teddy Bear	A+	1×	35/53	  GET
 Terence Petit	A-	1×	43/53	  GET
 Kariotis21	A+	1×	43/53	  GET
 Speedy	A+	1×	41/53	  GET
 Max Dusman	A+	1×	42/53	  GET
 Javi Marquez Reche	B	1×	18/53	  GET
 Kayla	A+	1×	42/53	  GET
 Jared Robinson	A+	1×	33/53	  GET
 Dung Mücke	C+	1×	40/53	  GET
 Greenghost242	A	1×	9/53	  GET
 Boss Man	A+	1×	19/53	  GET
 Browniecow	B+	1×	22/53	  GET
 James Spindor	A+	1×	39/53	  GET
 Zong-Lin Jhuang	A+	1×	42/53	  GET
 Winson Goh	A+	1×	43/53	  GET
 Sirlattius	A+	1×	44/53	  GET
 Mangareaderrad	A+	1×	43/53	  GET
 Niki	A-	1×	44/53	  GET
 Christina Martin	C+	1×	29/53	  GET
 Myko Viernes	A+	1×	38/53	  GET
 Ananirasbelsky	A-	1×	36/53	  GET
 FADE2GLORY .	A+	1×	38/53	  GET
 Rabrugger	A+	1×	40/53	  GET
 dozy	A+	1×	43/53	  GET
 Fabled3000	A+	1×	42/53	  GET
 Xaelamie	A+	1×	43/53	  GET
 Ezylryb	A+	1×	46/53	  GET
 Spaghetti Spaghetti	A+	1×	46/53	  GET
 Nathan.james.johnston	A+	1×	37/53	  GET
 Claudia Tinúviel	A+	1×	43/53	  GET
 Neonmobster_17779	A+	1×	34/53	  GET
 Narby	A+	1×	51/53	  GET
 Granfalloon104	A	1×	11/53	  GET
 Spyke	A+	1×	43/53	  GET
 Laura	A+	1×	45/53	  GET
 Adropofbeauty	A	1×	40/53	  GET
 Brodie Bond	A+	1×	42/53	  GET
 Lexi Sprague	A	1×	41/53	  GET
 Chance Mayhugh	A+	1×	43/53	  GET
 Firdaus Isa	A+	1×	42/53	  GET
 Ty Cronin	A+	1×	39/53	  GET
 Thomas van Dongen	A+	1×	17/53	  GET
 Dan Ho	A+	1×	41/53	  GET
 Victor Chiang	A+	1×	44/53	  GET
 Neonmobster_19501	B	1×	4/53	  GET
 Kittiemiaou	A+	1×	43/53	  GET
 r00t	A+	1×	41/53	  GET
 Michael Sinclair	A+	1×	44/53	  GET
 Michael Lenehan	B+	1×	2/53	  GET
 Erik Derr	A+	1×	43/53	  GET
 Eldagast	A	1×	41/53	  GET
 Waldo Cervantes	A+	1×	29/53	  GET
 Smogthebear	A+	1×	39/53	  GET
 mon_ridge	A+	1×	40/53	  GET
 crainbo	A+	1×	32/53	  GET
 Andrea Torrone	A	1×	48/53	  GET
 Kimmy Boo	A+	1×	30/53	  GET
 Evaagland	A+	1×	35/53	  GET
 Awesomepiggy17	B+	1×	11/53	  GET
 Azaes	B	1×	39/53	  GET
 EmVee	A+	1×	45/53	  GET
 Seafoodsurfer	A+	1×	49/53	  GET
